domain,keyword,position,previous_position,search_volume,cpc,competition,url,traffic_percent,intent_note,solarziegel_confusion_risk,source,export_date
blechziegel.de,blech ziegel,24,24,70,1.00,1.00,https://blechziegel.de/,0.00,Kernnaher Blechziegel-Begriff,niedrig,Semrush (Schaetzung),2026-05-16
blechziegel.de,pv blechziegel,26,26,110,0.72,1.00,https://blechziegel.de/,0.00,Sehr relevanter Kernbegriff fuer PV-Blechziegel,niedrig,Semrush (Schaetzung),2026-05-16
blechziegel.de,ziegel braas,35,35,480,0.49,0.94,https://blechziegel.de/collections/braas,0.00,Hersteller-/Marken-Suchintention Braas,mittel,Semrush (Schaetzung),2026-05-16
blechziegel.de,braas solarziegel,38,38,390,1.11,0.85,https://blechziegel.de/collections/braas,0.00,Missverstaendlicher Solarziegel-Begriff mit Braas-Bezug,hoch,Semrush (Schaetzung),2026-05-16
blechziegel.de,braas dachziegel,38,38,3600,0.39,0.95,https://blechziegel.de/collections/braas,0.00,Hersteller-/Dachziegel-Suchintention Braas,mittel,Semrush (Schaetzung),2026-05-16
blechziegel.de,braas dachziegel,41,41,3600,0.39,0.95,https://blechziegel.de/collections/braas,0.00,Hersteller-/Dachziegel-Suchintention Braas,mittel,Semrush (Schaetzung),2026-05-16
blechziegel.de,braas,45,45,4400,0.70,0.09,https://blechziegel.de/collections/braas,0.00,Breiter Markenbegriff Braas,mittel,Semrush (Schaetzung),2026-05-16
blechziegel.de,nelskamp dachziegel,46,46,1000,0.59,0.90,https://blechziegel.de/collections/nelskamp,0.00,Hersteller-/Dachziegel-Suchintention Nelskamp,mittel,Semrush (Schaetzung),2026-05-16
blechziegel.de,nelskamp ziegel,50,50,70,0.00,0.60,https://blechziegel.de/collections/nelskamp,0.00,Hersteller-/Ziegel-Suchintention Nelskamp,mittel,Semrush (Schaetzung),2026-05-16
blechziegel.de,allersberger straße 185 dhl,54,54,90,0.00,0.00,https://blechziegel.de/pages/montageanleitung-mit-dachhaken,0.00,Störkeyword ohne Produktbezug,keine,Semrush (Schaetzung),2026-05-16
blechziegel.de,dachziegel nelskamp,55,55,170,0.44,0.93,https://blechziegel.de/collections/nelskamp,0.00,Hersteller-/Dachziegel-Suchintention Nelskamp,mittel,Semrush (Schaetzung),2026-05-16
blechziegel.de,blechziegel für photovoltaik,56,56,70,0.69,1.00,https://blechziegel.de/,0.00,Sehr passender Longtail fuer PV-Blechziegel,niedrig,Semrush (Schaetzung),2026-05-16
blechziegel.de,braas pv,59,59,70,2.20,0.38,https://blechziegel.de/collections/braas,0.00,Braas-PV-Suchintention mit moeglicher Solarziegel-Verwechslung,hoch,Semrush (Schaetzung),2026-05-16
blechziegel.de,dachziegel hersteller,63,0,260,0.66,0.21,https://blechziegel.de/pages/hersteller,0.00,Informationssuche zu Dachziegel-Herstellern,mittel,Semrush (Schaetzung),2026-05-16
blechziegel.de,allersberger straße 185 dhl,75,75,90,0.00,0.00,https://blechziegel.de/collections/nelskamp,0.00,Störkeyword ohne Produktbezug,keine,Semrush (Schaetzung),2026-05-16
blechziegel.de,allersberger straße 185 dhl,87,87,90,0.00,0.00,https://blechziegel.de/pages/hersteller,0.00,Störkeyword ohne Produktbezug,keine,Semrush (Schaetzung),2026-05-16
blechziegel.de,blech ziegel,96,96,70,1.00,1.00,https://blechziegel.de/,0.00,Kernnaher Blechziegel-Begriff zweite Semrush-URL/Position,niedrig,Semrush (Schaetzung),2026-05-16
