domain,url,organic_keywords,estimated_traffic,top_keyword,page_type,source,export_date
blechziegel.de,https://blechziegel.de/collections/braas,6,0,,collection,Semrush (Schaetzung),2026-05-16
blechziegel.de,https://blechziegel.de/pages/hersteller,2,0,,page,Semrush (Schaetzung),2026-05-16
blechziegel.de,https://blechziegel.de/pages/montageanleitung-mit-dachhaken,1,0,,page,Semrush (Schaetzung),2026-05-16
blechziegel.de,https://blechziegel.de/,4,0,,home,Semrush (Schaetzung),2026-05-16
blechziegel.de,https://blechziegel.de/collections/nelskamp,4,0,,collection,Semrush (Schaetzung),2026-05-16
blechziegel.com,https://blechziegel.com/,29,117,,home,Semrush (Schaetzung),2026-05-16
blechziegel.com,https://blechziegel.com/products/pv-dachziegel-frankfurter-pfanne,10,6,,product,Semrush (Schaetzung),2026-05-16
blechziegel.com,https://blechziegel.com/products/pv-dachziegel-biberschwanz-360-180,6,4,,product,Semrush (Schaetzung),2026-05-16
blechziegel.com,https://blechziegel.com/products/pv-dachziegel-erlus-e58-s,2,2,,product,Semrush (Schaetzung),2026-05-16
blechziegel.com,https://blechziegel.com/collections/pv-dachziegel-braas,28,1,,collection,Semrush (Schaetzung),2026-05-16
ziegel-koenig.com,https://shop.ziegel-koenig.com/,2,129,,shop-home,Semrush (Schaetzung),2026-05-16
ziegel-koenig.com,https://ziegel-koenig.com/,7,63,,home,Semrush (Schaetzung),2026-05-16
ziegel-koenig.com,https://shop.ziegel-koenig.com/products/zk-biberschwanz,4,3,,product,Semrush (Schaetzung),2026-05-16
bau.shop,https://bau.shop/Blechziegel,30,382,,category,Semrush (Schaetzung),2026-05-16
bau.shop,https://bau.shop/Stahltueren,68,863,,category,Semrush (Schaetzung),2026-05-16
bau.shop,https://bau.shop/,15,380,,home,Semrush (Schaetzung),2026-05-16
venturama-solar.de,https://venturama-solar.de/,60,4520,,home,Semrush (Schaetzung),2026-05-16
venturama-solar.de,https://venturama-solar.de/pv-montageschienen/,75,953,,category,Semrush (Schaetzung),2026-05-16
venturama-solar.de,https://venturama-solar.de/produkt/blechziegel-passend-fuer-frankfurter-pfanne-metalldachplatten-pv/,1,0,blechziegel frankfurter pfanne,product,Semrush (Schaetzung),2026-05-16
